"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","cis","cis_trans","trans","total_cis","total_cis_trans","total_trans","cis_in_gc","cis_trans_in_gc","trans_in_gc"
"Glossitis, Benign Migratory","2/24",0.130505110327072,0.584546802769763,0,0,3.37473976405274,6.87212733557512,"HLA-B;HLA-C","","",2,0,0,0,0,0
"Staphylococcal toxic shock syndrome","2/24",0.130505110327072,0.584546802769763,0,0,3.37473976405274,6.87212733557512,"IL1RN;HLA-C","","",2,0,0,0,0,0
"Thickened helices","2/24",0.130505110327072,0.584546802769763,0,0,3.37473976405274,6.87212733557512,"PPP1CB;MAP2K1","","",2,0,0,0,0,0
"Abnormality of immune system physiology","2/24",0.130505110327072,0.584546802769763,0,0,3.37473976405274,6.87212733557512,"TBXAS1","PCCB","",1,1,0,1,0,0
"Uncinate Epilepsy","2/24",0.130505110327072,0.584546802769763,0,0,3.37473976405274,6.87212733557512,"","KDR","SLC12A2",0,1,1,0,0,0
"Alcohol or Other Drugs use","2/24",0.130505110327072,0.584546802769763,0,0,3.37473976405274,6.87212733557512,"ALDH2;COMT","","",2,0,0,1,0,0
"Asphyxia Neonatorum","2/24",0.130505110327072,0.584546802769763,0,0,3.37473976405274,6.87212733557512,"","KDR;ADM","",0,2,0,0,0,0
"Child Development Deviations","2/24",0.130505110327072,0.584546802769763,0,0,3.37473976405274,6.87212733557512,"PTEN","AS3MT","",1,1,0,0,0,0
"Chronic atrial fibrillation","2/24",0.130505110327072,0.584546802769763,0,0,3.37473976405274,6.87212733557512,"SLC8A1","KCNK3","",1,1,0,0,0,0
"Elastosis perforans serpiginosa","2/24",0.130505110327072,0.584546802769763,0,0,3.37473976405274,6.87212733557512,"TGFB1;COMT","","",2,0,0,1,0,0
"Eosinophilic granulomatosis with polyangiitis","2/24",0.130505110327072,0.584546802769763,0,0,3.37473976405274,6.87212733557512,"DDR1","LEPR","",1,1,0,0,1,0
"Lyme Arthritis","2/24",0.130505110327072,0.584546802769763,0,0,3.37473976405274,6.87212733557512,"MAP2K1","ADAMTS4","",1,1,0,0,0,0
"Orchitis","2/24",0.130505110327072,0.584546802769763,0,0,3.37473976405274,6.87212733557512,"HLA-B;IL6R","","",2,0,0,1,0,0
"Pelger-Huet Anomaly","2/24",0.130505110327072,0.584546802769763,0,0,3.37473976405274,6.87212733557512,"SYT1;HMBS","","",2,0,0,1,0,0
"POLYCYSTIC KIDNEY DISEASE 1","2/24",0.130505110327072,0.584546802769763,0,0,3.37473976405274,6.87212733557512,"DAG1","KIF3A","",1,1,0,0,0,0
"Precancerous Conditions","16/446",0.131243763087238,0.584546802769763,0,0,1.389439124487,2.82153249889884,"IL1RN;TGFB1;IRS1;CMA1;GSTP1;PTEN;RRBP1;HPR;IGF2R;ACAT1;MAPK9;ALDH2","AS3MT;CTTN;FGFR4","SOX9",12,3,1,5,0,0
"Adult Acute Myeloblastic Leukemia","5/102",0.131394014054192,0.584546802769763,0,0,1.91711023606467,3.89088014583489,"ABCC1;CDKN2B;GSTP1;SPRY4;NT5C2","","",5,0,0,1,0,0
"Right Ventricular Hypertrophy","3/48",0.131861676246583,0.584546802769763,0,0,2.47660930528999,5.01761494275204,"TGFB1;PTEN;PPIA","","",3,0,0,1,0,0
"Agyria","3/48",0.131861676246583,0.584546802769763,0,0,2.47660930528999,5.01761494275204,"DAG1;POMGNT1","POMT2","",2,1,0,0,0,0
"Barrett Epithelium","3/48",0.131861676246583,0.584546802769763,0,0,2.47660930528999,5.01761494275204,"GSTP1","LEPR","SOX9",1,1,1,0,1,0
"Corneal Neovascularization","3/48",0.131861676246583,0.584546802769763,0,0,2.47660930528999,5.01761494275204,"IRS1;COMT","ADAMTS9","",2,1,0,0,0,0
"Cytochrome-c Oxidase Deficiency","3/48",0.131861676246583,0.584546802769763,0,0,2.47660930528999,5.01761494275204,"CEP89","FASTKD2;COX10","",1,2,0,0,0,0
"Infantile Spasm","3/48",0.131861676246583,0.584546802769763,0,0,2.47660930528999,5.01761494275204,"ATXN2;HLA-C;PLCB1","","",3,0,0,1,0,0
"Disorder of eye","6/131",0.1318797823831,0.584546802769763,0,0,1.78606153846154,3.6183186850401,"EDNRA;SCD;GSTP1;PTEN;PRRC2A","KDR","",5,1,0,2,0,0
"Hydrocephalus","10/253",0.13198637083029,0.584546802769763,0,0,1.53371933518359,3.10586848221825,"KIAA1109;DAG1;PTEN;TWIST1;MPDZ;POMGNT1","POMT2;TMEM216;PSMG1","SOX9",6,3,1,0,0,0
"Squamous cell carcinoma of esophagus","33/1023",0.132052251465873,0.584546802769763,0,0,1.24976335361731,2.53021788362356,"PHLPP2;SLC22A3;IL1RN;CRABP2;MCM7;GSTP1;KMT2C;SEMA3B;PTEN;TWIST1;XPC;ABO;CHAF1A;ALDH2;CHEK2;SERPINH1;POLI;ATG7;CDKN2B;ABCC1;TGFB1;SYT1;IGFBP3;SPRY4;HLA-C;FKBP1A;ENG","ADAMTS9;YY1AP1;CTTN","SOX9;SLC12A2;RSRC2",27,3,3,5,0,0
"Familial multiple trichoepitheliomata","7/161",0.132899564755824,0.584546802769763,0,0,1.69206516027325,3.41486091126821,"MAP2K1;CDKN2B;IGFBP3;GSTP1;ENG","BECN1","RFC3",5,1,1,0,0,0
"Diabetes Mellitus, Insulin-Dependent","31/956",0.134648674717325,0.584546802769763,0,0,1.25584275184275,2.51807309943589,"SLC22A3;IL1RN;IRS1;PTEN;LPL;AIF1;ABO;BAG6;KIAA1109;ATXN2;EDNRA;ALDH2;CTSH;SH2B3;IL6R;ABCF1;TCF19;CDKN2B;TGFB1;HLA-B;HLA-C;IGF2R;PRRC2A;SCD;PRKD2;ENG","ADM;LPP;ADAMTS4;FCGR3B;PRKCB","",26,5,0,13,0,0
"Apnea","4/75",0.135133020814147,0.584546802769763,0,0,2.09411256812908,4.19135718798887,"","TMEM216;CEP120;PCCB","SOX9",0,3,1,0,0,0
"Clouding of corneal stroma","4/75",0.135133020814147,0.584546802769763,0,0,2.09411256812908,4.19135718798887,"DAG1;SLC4A11;POMGNT1","POMT2","",3,1,0,0,0,0
"Comatose","4/75",0.135133020814147,0.584546802769763,0,0,2.09411256812908,4.19135718798887,"SLC22A5;ASL","PCCB;POLG","",2,2,0,0,0,0
"Sleep Apnea, Obstructive","6/132",0.135304862869021,0.584546802769763,0,0,1.77179487179487,3.54398804851456,"EDNRA;IRS1;LPL;PLCB1","LEPR","DCTN3",4,1,1,2,1,0
"precancerous lesions","6/132",0.135304862869021,0.584546802769763,0,0,1.77179487179487,3.54398804851456,"IL1RN;TGFB1;CHEK2;GSTP1;PTEN;ABO","","",6,0,0,2,0,0
"HIV Coinfection","5/103",0.135316823261557,0.584546802769763,0,0,1.8974499588703,3.79515875096691,"PSMA5;SF3A3;HLA-B;HLA-C","","EIF6",4,0,1,0,0,0
"Neoplasms","39/1236",0.136564644351518,0.584546802769763,0,0,1.22277459562664,2.43449187471005,"PHLPP2;CSF1R;SLC22A3;MCM7;PTEN;TCF21;TWIST1;PTPRJ;COMT;CHEK2;SERPINH1;IL6R;SPAG9;CDKN2B;MAP2K1;TGFB1;CMA1;IGFBP3;SPRY4;DAB2IP;HLA-C;SIRT6;SDHB;RUNX2;SMARCA4;RAD51C;FES;SCD;PADI2","BECN1;FCGR3B;KDR;ACOT7;YY1AP1;FGFR4","JPT1;BTG1;HSF1;RBX1",29,6,4,7,0,0
"Lymphoma","41/1307",0.137490496589646,0.584546802769763,0,0,1.21582384651716,2.41243825982534,"DDR1;CSF1R;IL1RN;GSTP1;PTEN;PTPRJ;RRBP1;COMT;ABO;EDNRA;CHEK2;NINL;SPAG9;IL15RA;PRMT5;CDKN2B;MAP2K1;ABCC1;TGFB1;SYT1;CMA1;HLA-C;KLHDC8B;RUNX2;SMARCA4;FKBP1A;FES;HMBS;MCM6;PPIA;BCAR1","FCGR3B;KDR;NSF;PRKCB;IGKV1-5;FGFR4","DCTN3;CCAR2;HSF1;EIF6",31,6,4,7,1,0
"Sparse eyelashes","3/49",0.13788324625277,0.584546802769763,0,0,2.42264527392136,4.80010335260804,"EDNRA;B4GALT7","KREMEN1","",2,1,0,1,0,0
"Thromboangiitis Obliterans","3/49",0.13788324625277,0.584546802769763,0,0,2.42264527392136,4.80010335260804,"IL1RN;ST3GAL5;PRRC2A","","",3,0,0,1,0,0
"Antisocial behavior","3/49",0.13788324625277,0.584546802769763,0,0,2.42264527392136,4.80010335260804,"ALDH2;COMT;LIPA","","",3,0,0,2,0,0
"cardiac event","3/49",0.13788324625277,0.584546802769763,0,0,2.42264527392136,4.80010335260804,"SCD;ITGB3;NOS1AP","","",3,0,0,0,0,0
"Hypermelanotic macule","3/49",0.13788324625277,0.584546802769763,0,0,2.42264527392136,4.80010335260804,"ST3GAL5;XPC","","CTC1",2,0,1,0,0,0
"Neck webbing","3/49",0.13788324625277,0.584546802769763,0,0,2.42264527392136,4.80010335260804,"PPP1CB;MAP2K1","TNNI2","",2,1,0,0,0,0
"Vesicular Stomatitis","6/133",0.138771616156227,0.584546802769763,0,0,1.75775287704422,3.47143141263579,"CFDP1;DAB2IP;HLA-C;PPIA","BECN1;FCGR3B","",4,2,0,2,0,0
"Lewy Body Disease","6/133",0.138771616156227,0.584546802769763,0,0,1.75775287704422,3.47143141263579,"TSHZ1;HLA-C;ATG7;AIF1;IGF2R","BECN1","",5,1,0,1,0,0
"Respiratory distress","5/104",0.139291261572421,0.584546802769763,0,0,1.878186858993,3.70225964454557,"TGFB1;COMT","FASTKD2;COX10","SOX9",2,2,1,1,0,0
"Tonic Seizures","5/104",0.139291261572421,0.584546802769763,0,0,1.878186858993,3.70225964454557,"PLCB1;MPDZ;SLC8A1;ACAT1","POLG","",4,1,0,0,0,0
"Sclerosis","2/25",0.139498991539226,0.584546802769763,0,0,3.22784600066379,6.35788151116207,"IL1RN","ADM","",1,1,0,0,0,0
"Small cheekbone","2/25",0.139498991539226,0.584546802769763,0,0,3.22784600066379,6.35788151116207,"MAP2K1;RUNX2","","",2,0,0,0,0,0
"Spondyloepimetaphyseal disorder","2/25",0.139498991539226,0.584546802769763,0,0,3.22784600066379,6.35788151116207,"DDRGK1","","SOX9",1,0,1,0,0,0
"Aortic Diseases","2/25",0.139498991539226,0.584546802769763,0,0,3.22784600066379,6.35788151116207,"CDKN2B;MAT2A","","",2,0,0,1,0,0
"Cyanosis","2/25",0.139498991539226,0.584546802769763,0,0,3.22784600066379,6.35788151116207,"ALDH2;ENG","","",2,0,0,1,0,0
"Depressed cheekbone","2/25",0.139498991539226,0.584546802769763,0,0,3.22784600066379,6.35788151116207,"MAP2K1;RUNX2","","",2,0,0,0,0,0
"Excessive wrinkled skin","2/25",0.139498991539226,0.584546802769763,0,0,3.22784600066379,6.35788151116207,"MAP2K1;PTEN","","",2,0,0,0,0,0
"Flattening of the zygomatic bone","2/25",0.139498991539226,0.584546802769763,0,0,3.22784600066379,6.35788151116207,"MAP2K1;RUNX2","","",2,0,0,0,0,0
"Goiter","2/25",0.139498991539226,0.584546802769763,0,0,3.22784600066379,6.35788151116207,"PTEN;SDHB","","",2,0,0,0,0,0
"Hypokinesia","2/25",0.139498991539226,0.584546802769763,0,0,3.22784600066379,6.35788151116207,"","MRPS16;OPRL1","",0,2,0,0,1,0
"Hypoplasia of the zygomatic bone","2/25",0.139498991539226,0.584546802769763,0,0,3.22784600066379,6.35788151116207,"MAP2K1;RUNX2","","",2,0,0,0,0,0
"Hypotrophic cheekbone","2/25",0.139498991539226,0.584546802769763,0,0,3.22784600066379,6.35788151116207,"MAP2K1;RUNX2","","",2,0,0,0,0,0
"Increased intramyocellular lipid droplets","2/25",0.139498991539226,0.584546802769763,0,0,3.22784600066379,6.35788151116207,"","FASTKD2;COX10","",0,2,0,0,0,0
"Leukokeratosis","2/25",0.139498991539226,0.584546802769763,0,0,3.22784600066379,6.35788151116207,"","CTTN","CTC1",0,1,1,0,0,0
"Poor head control","2/25",0.139498991539226,0.584546802769763,0,0,3.22784600066379,6.35788151116207,"DAG1","","EXOSC3",1,0,1,0,0,0
"Pyemia","2/25",0.139498991539226,0.584546802769763,0,0,3.22784600066379,6.35788151116207,"TGFB1","ADM","",1,1,0,1,0,0
"Stable angina","4/76",0.139873551266443,0.584546802769763,0,0,2.06492124308216,4.06173409387544,"TGFB1;ALDH2","ADAMTS4;ADM","",2,2,0,2,0,0
"Varicosity","4/76",0.139873551266443,0.584546802769763,0,0,2.06492124308216,4.06173409387544,"IRS1;ITGB3","KDR;ADM","",2,2,0,0,0,0
"Acromegaly","4/76",0.139873551266443,0.584546802769763,0,0,2.06492124308216,4.06173409387544,"CDKN2B;GIPR;IGFBP3;LPL","","",4,0,0,2,0,0
"Machado-Joseph Disease","4/76",0.139873551266443,0.584546802769763,0,0,2.06492124308216,4.06173409387544,"IL1RN;ATXN2;CFDP1","BECN1","",3,1,0,2,0,0
"Malnutrition","9/225",0.140362116631491,0.584546802769763,0,0,1.55206318504191,3.0475220799604,"PREX1;SLC22A3;IGFBP3;HLA-C;LIPA;AP4B1;ACAT1","LEPR;POLG","",7,2,0,3,1,0
"Skin Carcinogenesis","6/134",0.142279506114205,0.584546802769763,0,0,1.74393028846154,3.40059744982535,"MAP2K1;CDKN2B;PTEN;XPC;PGF;ENG","","",6,0,0,0,0,0
"Graft-vs-Host Disease","9/226",0.143021889398991,0.584546802769763,0,0,1.54483059836526,3.00432102790737,"IL1RN;TGFB1;SYT1;HLA-B;HLA-C;TWIST1;CTSH;ABO","FCGR3B","",8,1,0,2,0,0
"Global developmental delay","35/1102",0.143201226447432,0.584546802769763,0,0,1.2297169100033,2.38996029902459,"PGAP3;SRP54;PTEN;TWIST1;COMT;NT5C2;LIPA;CMIP;PPP1CB;DAG1;ST3GAL5;ASL;SERAC1;SH2B3;MAP2K1;SDHB;AP4B1;POMGNT1;SMARCA4;RAD51C;NDUFAF6;RFT1;UMPS;B4GALT7","POMT2;FASTKD2;CEP120;COX10;POLG;TMEM216;PCCB","TP53RK;EXOSC3;CTC1;EBF3",24,7,4,7,0,0
"Carotid Atherosclerosis","5/105",0.143316439217727,0.584546802769763,0,0,1.85930902111324,3.61208006636441,"IL1RN;MRAS;IRS1;GSTP1","AS3MT","",4,1,0,1,0,0
"Premature Obstetric Labor","5/105",0.143316439217727,0.584546802769763,0,0,1.85930902111324,3.61208006636441,"IL1RN;SIRT6;IL6R;PGF","BECN1","",4,1,0,1,0,0
"Erythrocyte Mean Corpuscular Hemoglobin Test","14/387",0.143826417283972,0.584546802769763,0,0,1.40024924597855,2.7152907237545,"GSTP1;ERAL1;ABO;GIGYF1;ATXN2;CHAF1A;ALDH2;SH2B3;CASC15;SH3GL1","NSF;TTC28;LEPR","SURF4",10,3,1,5,2,0
"Finding of Mean Corpuscular Hemoglobin","14/387",0.143826417283972,0.584546802769763,0,0,1.40024924597855,2.7152907237545,"GSTP1;ERAL1;ABO;GIGYF1;ATXN2;CHAF1A;ALDH2;SH2B3;CASC15;SH3GL1","NSF;TTC28;LEPR","SURF4",10,3,1,5,2,0
"Renal dysplasia","3/50",0.14399648570684,0.584546802769763,0,0,2.37097758431309,4.59487485684338,"SIX2","POMT2","EBF3",1,1,1,0,0,0
"Sudden Cardiac Death","3/50",0.14399648570684,0.584546802769763,0,0,2.37097758431309,4.59487485684338,"KCNE2;NOS1AP","","ANK2",2,0,1,0,0,0
"stage, prostate cancer","3/50",0.14399648570684,0.584546802769763,0,0,2.37097758431309,4.59487485684338,"NPEPPS;TGFB1;GSTP1","","",3,0,0,1,0,0
"Clostridium; difficile (disorder)","3/50",0.14399648570684,0.584546802769763,0,0,2.37097758431309,4.59487485684338,"UGDH;LNPEP;NT5C2","","",3,0,0,2,0,0
"Dyspnea on exertion","3/50",0.14399648570684,0.584546802769763,0,0,2.37097758431309,4.59487485684338,"SH2B3","FASTKD2;COX10","",1,2,0,1,0,0
"Erythroblastosis","3/50",0.14399648570684,0.584546802769763,0,0,2.37097758431309,4.59487485684338,"NPEPPS;PTEN","KDR","",2,1,0,0,0,0
"High-Grade Prostatic Intraepithelial Neoplasia","4/77",0.144679594327881,0.584546802769763,0,0,2.0365296803653,3.93708775990726,"IGFBP3;GSTP1;PTEN;CTSH","","",4,0,0,0,0,0
"Parathyroid Adenoma","4/77",0.144679594327881,0.584546802769763,0,0,2.0365296803653,3.93708775990726,"ABCC1;CDKN2B;SYT1;BCAR1","","",4,0,0,0,0,0
"Hormone refractory prostate cancer","6/135",0.145827981658495,0.584546802769763,0,0,1.73032200357782,3.33143664068665,"NPEPPS;TGFB1;GSTP1;PTEN;IL6R","KDR","",5,1,0,2,0,0
"Cardiomyopathy, Familial Idiopathic","14/388",0.145856125127498,0.584546802769763,0,0,1.39643215240642,2.68831983566045,"IL1RN;SLC22A5;TGFB1;GSTP1;TSHZ1;PTEN;HLA-C;ABO;EFEMP2;EDNRA;DAG1;PDE3A","ADM;KDR","",12,2,0,4,0,0
"Chronic kidney disease stage 5","14/388",0.145856125127498,0.584546802769763,0,0,1.39643215240642,2.68831983566045,"IL1RN;TGFB1;IRS1;HLA-B;LPL;HMGCR;PGF;ACAT1;RAD51C;LINC00963","BECN1;PRKCB;ADM;PLB1","",10,4,0,2,0,0
"Malignant neoplasm of kidney","15/421",0.146025389145702,0.584546802769763,0,0,1.37863553546123,2.65245999295229,"SPAG9;DDR1;MAP2K1;TGFB1;IGFBP3;SEMA3B;PTEN;HLA-C;COMT;SDHB;DDT;ENG","LEPR;KDR","HSF1",12,2,1,1,1,0
"Adenoma","32/1000",0.146268177255568,0.584546802769763,0,0,1.23839796567069,2.380589142229,"IL1RN;KCNE2;PHF20;IRS1;GSTP1;PTEN;TWIST1;XPC;PTPRJ;EDNRA;ALDH2;CDKN2B;ABCC1;TGFB1;PTGIS;IGFBP3;LYZ;IGF2R;SMARCA4;LRCH1;SPINT1;HMBS;BCAR1","BECN1;LEPR;YY1AP1;FGFR4;KCNK3","BAG1;SOX9;TXNRD1;EIF6",23,5,4,6,1,0
"Alkalosis, Respiratory","1/6",0.147798278791099,0.584546802769763,0,0,7.4167619047619,14.1801583805062,"ASL","","",1,0,0,0,0,0
"Reduced factor XIII activity","1/6",0.147798278791099,0.584546802769763,0,0,7.4167619047619,14.1801583805062,"MAP2K1","","",1,0,0,0,0,0
"Refractory cytopenia with multilineage dysplasia","1/6",0.147798278791099,0.584546802769763,0,0,7.4167619047619,14.1801583805062,"ENG","","",1,0,0,0,0,0
"Retinal Neoplasms","1/6",0.147798278791099,0.584546802769763,0,0,7.4167619047619,14.1801583805062,"CHEK2","","",1,0,0,0,0,0
"Colitis, Microscopic","1/6",0.147798278791099,0.584546802769763,0,0,7.4167619047619,14.1801583805062,"PTEN","","",1,0,0,0,0,0
"Round ear","1/6",0.147798278791099,0.584546802769763,0,0,7.4167619047619,14.1801583805062,"","TNNI2","",0,1,0,0,0,0
"CORNEAL DYSTROPHY, FUCHS ENDOTHELIAL, 2","1/6",0.147798278791099,0.584546802769763,0,0,7.4167619047619,14.1801583805062,"SLC4A11","","",1,0,0,0,0,0
"Saccular Aneurysm","1/6",0.147798278791099,0.584546802769763,0,0,7.4167619047619,14.1801583805062,"ENG","","",1,0,0,0,0,0
"EHLERS-DANLOS SYNDROME, DERMATOSPARAXIS TYPE","1/6",0.147798278791099,0.584546802769763,0,0,7.4167619047619,14.1801583805062,"","ADAMTS4","",0,1,0,0,0,0
"Secondary malignant neoplasm of prostate","1/6",0.147798278791099,0.584546802769763,0,0,7.4167619047619,14.1801583805062,"PTEN","","",1,0,0,0,0,0
"Secondary Peritonitis","1/6",0.147798278791099,0.584546802769763,0,0,7.4167619047619,14.1801583805062,"","LEPR","",0,1,0,0,1,0
"Familial Amyloid Neuropathy, Portuguese Type","1/6",0.147798278791099,0.584546802769763,0,0,7.4167619047619,14.1801583805062,"LYZ","","",1,0,0,0,0,0
"HEMANGIOMA, CAPILLARY INFANTILE","1/6",0.147798278791099,0.584546802769763,0,0,7.4167619047619,14.1801583805062,"","KDR","",0,1,0,0,0,0
"Short 5th metacarpal","1/6",0.147798278791099,0.584546802769763,0,0,7.4167619047619,14.1801583805062,"RUNX2","","",1,0,0,0,0,0
"Sinus bradycardia","1/6",0.147798278791099,0.584546802769763,0,0,7.4167619047619,14.1801583805062,"","","ANK2",0,0,1,0,0,0
"Sitosterolemia","1/6",0.147798278791099,0.584546802769763,0,0,7.4167619047619,14.1801583805062,"HMGCR","","",1,0,0,0,0,0
"Skeletal malformation","1/6",0.147798278791099,0.584546802769763,0,0,7.4167619047619,14.1801583805062,"","","SOX9",0,0,1,0,0,0
"Small cell carcinoma of esophagus","1/6",0.147798278791099,0.584546802769763,0,0,7.4167619047619,14.1801583805062,"PTEN","","",1,0,0,0,0,0
"Snowflake vitreoretinal degeneration","1/6",0.147798278791099,0.584546802769763,0,0,7.4167619047619,14.1801583805062,"IL1RN","","",1,0,0,0,0,0
"Malignant neoplasm of lower lobe, bronchus or lung","1/6",0.147798278791099,0.584546802769763,0,0,7.4167619047619,14.1801583805062,"XPC","","",1,0,0,0,0,0
"Malignant neoplasm of middle lobe, bronchus or lung","1/6",0.147798278791099,0.584546802769763,0,0,7.4167619047619,14.1801583805062,"XPC","","",1,0,0,0,0,0
"Malignant neoplasm of upper lobe, bronchus or lung","1/6",0.147798278791099,0.584546802769763,0,0,7.4167619047619,14.1801583805062,"XPC","","",1,0,0,0,0,0
"Speech Sound Disorders","1/6",0.147798278791099,0.584546802769763,0,0,7.4167619047619,14.1801583805062,"","PRKCB","",0,1,0,0,0,0
"MUSCULAR DYSTROPHY-DYSTROGLYCANOPATHY (CONGENITAL WITH BRAIN AND EYE ANOMALIES), TYPE A, 2","1/6",0.147798278791099,0.584546802769763,0,0,7.4167619047619,14.1801583805062,"","POMT2","",0,1,0,0,0,0
"Sphingolipidoses","1/6",0.147798278791099,0.584546802769763,0,0,7.4167619047619,14.1801583805062,"","BECN1","",0,1,0,0,0,0
"MUSCULAR DYSTROPHY-DYSTROGLYCANOPATHY (CONGENITAL WITH MENTAL RETARDATION), TYPE B, 2","1/6",0.147798278791099,0.584546802769763,0,0,7.4167619047619,14.1801583805062,"","POMT2","",0,1,0,0,0,0
"MUSCULAR DYSTROPHY-DYSTROGLYCANOPATHY (CONGENITAL WITH MENTAL RETARDATION), TYPE B, 3","1/6",0.147798278791099,0.584546802769763,0,0,7.4167619047619,14.1801583805062,"POMGNT1","","",1,0,0,0,0,0
"Muscular dystrophy congenital, merosin negative","1/6",0.147798278791099,0.584546802769763,0,0,7.4167619047619,14.1801583805062,"DAG1","","",1,0,0,0,0,0
"Myositis, Focal","1/6",0.147798278791099,0.584546802769763,0,0,7.4167619047619,14.1801583805062,"IL1RN","","",1,0,0,0,0,0
"Myositis, Infectious","1/6",0.147798278791099,0.584546802769763,0,0,7.4167619047619,14.1801583805062,"IL1RN","","",1,0,0,0,0,0
"Myositis, Proliferative","1/6",0.147798278791099,0.584546802769763,0,0,7.4167619047619,14.1801583805062,"IL1RN","","",1,0,0,0,0,0
"Ovarian Small Cell Carcinoma, Hypercalcemic Type","1/6",0.147798278791099,0.584546802769763,0,0,7.4167619047619,14.1801583805062,"SMARCA4","","",1,0,0,1,0,0
"Subsarcolemmal accumulations of abnormally shaped mitochondria","1/6",0.147798278791099,0.584546802769763,0,0,7.4167619047619,14.1801583805062,"","POLG","",0,1,0,0,0,0
"Progressive External Ophthalmoplegia with Mitochondrial DNA Deletions, Autosomal Dominant, 1","1/6",0.147798278791099,0.584546802769763,0,0,7.4167619047619,14.1801583805062,"","POLG","",0,1,0,0,0,0
"SYSTEMIC LUPUS ERYTHEMATOSUS 16","1/6",0.147798278791099,0.584546802769763,0,0,7.4167619047619,14.1801583805062,"","","C1QA",0,0,1,0,0,0
"Temporal Arteritis","1/6",0.147798278791099,0.584546802769763,0,0,7.4167619047619,14.1801583805062,"P4HA2","","",1,0,0,1,0,0
"Skin Diseases, Vascular","1/6",0.147798278791099,0.584546802769763,0,0,7.4167619047619,14.1801583805062,"PTEN","","",1,0,0,0,0,0
"Sterility, Reproductive","1/6",0.147798278791099,0.584546802769763,0,0,7.4167619047619,14.1801583805062,"","LEPR","",0,1,0,0,1,0
"Thickening of pleura","1/6",0.147798278791099,0.584546802769763,0,0,7.4167619047619,14.1801583805062,"TGFB1","","",1,0,0,1,0,0
"Thyroid cancer metastatic","1/6",0.147798278791099,0.584546802769763,0,0,7.4167619047619,14.1801583805062,"MAP2K1","","",1,0,0,0,0,0
"Transferrin measurement","1/6",0.147798278791099,0.584546802769763,0,0,7.4167619047619,14.1801583805062,"FADS2","","",1,0,0,0,0,0
"Trichiasis","1/6",0.147798278791099,0.584546802769763,0,0,7.4167619047619,14.1801583805062,"HLA-B","","",1,0,0,0,0,0
"Trichilemmoma","1/6",0.147798278791099,0.584546802769763,0,0,7.4167619047619,14.1801583805062,"PTEN","","",1,0,0,0,0,0
"Abnormal renal function","1/6",0.147798278791099,0.584546802769763,0,0,7.4167619047619,14.1801583805062,"","TMEM216","",0,1,0,0,0,0
"Abnormality of male internal genitalia","1/6",0.147798278791099,0.584546802769763,0,0,7.4167619047619,14.1801583805062,"","","SOX9",0,0,1,0,0,0
"Ulnar deviation of the hand or of fingers of the hand","1/6",0.147798278791099,0.584546802769763,0,0,7.4167619047619,14.1801583805062,"","TNNI2","",0,1,0,0,0,0
"Abnormality of skull shape","1/6",0.147798278791099,0.584546802769763,0,0,7.4167619047619,14.1801583805062,"TWIST1","","",1,0,0,0,0,0
"Unconscious State","1/6",0.147798278791099,0.584546802769763,0,0,7.4167619047619,14.1801583805062,"PTEN","","",1,0,0,0,0,0
"Underdevelopment of facial bones","1/6",0.147798278791099,0.584546802769763,0,0,7.4167619047619,14.1801583805062,"","CEP120","",0,1,0,0,0,0
"Absent bone maturation in sternum","1/6",0.147798278791099,0.584546802769763,0,0,7.4167619047619,14.1801583805062,"","","SOX9",0,0,1,0,0,0
"Absent sternal ossification","1/6",0.147798278791099,0.584546802769763,0,0,7.4167619047619,14.1801583805062,"","","SOX9",0,0,1,0,0,0
"Ventricular Remodeling","1/6",0.147798278791099,0.584546802769763,0,0,7.4167619047619,14.1801583805062,"TGFB1","","",1,0,0,1,0,0
"Acromicric Dysplasia","1/6",0.147798278791099,0.584546802769763,0,0,7.4167619047619,14.1801583805062,"TGFB1","","",1,0,0,1,0,0
"Acute postoperative pain","1/6",0.147798278791099,0.584546802769763,0,0,7.4167619047619,14.1801583805062,"COMT","","",1,0,0,0,0,0
"Acylcarnitines measurement","1/6",0.147798278791099,0.584546802769763,0,0,7.4167619047619,14.1801583805062,"","MIR3936HG","",0,1,0,0,0,0
"Wide pubic symphysis","1/6",0.147798278791099,0.584546802769763,0,0,7.4167619047619,14.1801583805062,"RUNX2","","",1,0,0,0,0,0
"Alcohol-Induced Disorders","1/6",0.147798278791099,0.584546802769763,0,0,7.4167619047619,14.1801583805062,"ALDH2","","",1,0,0,1,0,0
"Alcoholic Neuropathy","1/6",0.147798278791099,0.584546802769763,0,0,7.4167619047619,14.1801583805062,"ALDH2","","",1,0,0,1,0,0
"Anterior subcapsular cataract","1/6",0.147798278791099,0.584546802769763,0,0,7.4167619047619,14.1801583805062,"TGFB1","","",1,0,0,1,0,0
"anxiety generalized","1/6",0.147798278791099,0.584546802769763,0,0,7.4167619047619,14.1801583805062,"COMT","","",1,0,0,0,0,0
"Aplasia/Hypoplasia of the distal phalanges of the hand","1/6",0.147798278791099,0.584546802769763,0,0,7.4167619047619,14.1801583805062,"SMARCA4","","",1,0,0,1,0,0
"Aristolochic Acid Nephropathy","1/6",0.147798278791099,0.584546802769763,0,0,7.4167619047619,14.1801583805062,"PTEN","","",1,0,0,0,0,0
